,item_id,fixed_item_idx
0,1,0
1,2,1
2,3,2
3,4,3
4,5,4
5,6,5
6,7,6
7,8,7
8,9,8
9,10,9
10,11,10
11,12,11
12,13,12
13,14,13
14,15,14
15,16,15
16,17,16
17,18,17
18,19,18
19,20,19
20,21,20
21,22,21
22,23,22
23,24,23
24,25,24
25,26,25
26,27,26
27,28,27
28,29,28
29,30,29
30,31,30
31,32,31
32,34,32
33,35,33
34,36,34
35,37,35
36,38,36
37,39,37
38,40,38
39,41,39
40,42,40
41,43,41
42,44,42
43,45,43
44,46,44
45,47,45
46,48,46
47,49,47
48,50,48
49,52,49
50,53,50
51,54,51
52,55,52
53,57,53
54,58,54
55,59,55
56,60,56
57,61,57
58,62,58
59,63,59
60,64,60
61,65,61
62,66,62
63,68,63
64,69,64
65,70,65
66,71,66
67,72,67
68,73,68
69,74,69
70,76,70
71,77,71
72,78,72
73,79,73
74,80,74
75,81,75
76,82,76
77,83,77
78,84,78
79,85,79
80,86,80
81,87,81
82,88,82
83,89,83
84,92,84
85,93,85
86,94,86
87,95,87
88,96,88
89,97,89
90,98,90
91,99,91
92,100,92
93,101,93
94,102,94
95,103,95
96,104,96
97,105,97
98,107,98
99,108,99
100,110,100
101,111,101
102,112,102
103,113,103
104,114,104
105,116,105
106,117,106
107,118,107
108,119,108
109,121,109
110,122,110
111,123,111
112,124,112
113,125,113
114,126,114
115,129,115
116,130,116
117,131,117
118,132,118
119,135,119
120,137,120
121,140,121
122,141,122
123,144,123
124,145,124
125,146,125
126,147,126
127,148,127
128,149,128
129,150,129
130,151,130
131,152,131
132,153,132
133,154,133
134,155,134
135,156,135
136,157,136
137,158,137
138,159,138
139,160,139
140,161,140
141,162,141
142,163,142
143,164,143
144,165,144
145,166,145
146,167,146
147,168,147
148,169,148
149,170,149
150,171,150
151,172,151
152,173,152
153,174,153
154,175,154
155,176,155
156,177,156
157,178,157
158,179,158
159,180,159
160,181,160
161,183,161
162,184,162
163,185,163
164,186,164
165,187,165
166,188,166
167,189,167
168,190,168
169,191,169
170,193,170
171,194,171
172,195,172
173,196,173
174,198,174
175,199,175
176,200,176
177,201,177
178,202,178
179,203,179
180,204,180
181,205,181
